Time (ET),Price
03-13 12:00,0.495
03-13 12:01,0.495
03-13 12:02,0.495
03-13 12:03,0.45
03-13 12:04,0.47
03-13 12:05,0.45
03-13 12:06,0.43
03-13 12:07,0.425
03-13 12:08,0.46
03-13 12:09,0.445
03-13 12:10,0.46
03-13 12:11,0.46
03-13 12:12,0.485
03-13 12:13,0.475
03-13 12:14,0.44
03-13 12:15,0.46
03-13 12:16,0.45
03-13 12:17,0.41
03-13 12:18,0.41
03-13 12:19,0.4
03-13 12:20,0.385
03-13 12:21,0.395
03-13 12:22,0.385
03-13 12:23,0.385
03-13 12:24,0.39
03-13 12:25,0.36
03-13 12:26,0.365
03-13 12:27,0.33
03-13 12:28,0.375
03-13 12:29,0.37
03-13 12:30,0.37
03-13 12:31,0.42
03-13 12:32,0.42
03-13 12:33,0.44
03-13 12:34,0.435
03-13 12:35,0.43
03-13 12:36,0.43
03-13 12:37,0.445
03-13 12:38,0.475
03-13 12:39,0.47
03-13 12:40,0.485
03-13 12:41,0.485
03-13 12:42,0.485
03-13 12:43,0.49
03-13 12:44,0.485
03-13 12:45,0.485
03-13 12:46,0.48
03-13 12:47,0.475
03-13 12:48,0.48
03-13 12:49,0.485
03-13 12:50,0.49
03-13 12:51,0.505
03-13 12:52,0.5
03-13 12:53,0.525
03-13 12:54,0.53
03-13 12:55,0.535
03-13 12:56,0.505
03-13 12:57,0.495
03-13 12:58,0.505
03-13 12:59,0.495
03-13 13:00,0.485
03-13 13:01,0.49
03-13 13:02,0.49
03-13 13:03,0.49
03-13 13:04,0.49
03-13 13:05,0.505
03-13 13:06,0.495
03-13 13:07,0.51
03-13 13:08,0.51
03-13 13:09,0.515
03-13 13:10,0.535
03-13 13:11,0.53
03-13 13:12,0.535
03-13 13:13,0.555
03-13 13:14,0.57
03-13 13:15,0.57
03-13 13:16,0.57
03-13 13:17,0.585
03-13 13:18,0.575
03-13 13:19,0.545
03-13 13:20,0.555
03-13 13:21,0.56
03-13 13:22,0.54
03-13 13:23,0.535
03-13 13:24,0.54
03-13 13:25,0.525
03-13 13:26,0.48
03-13 13:27,0.475
03-13 13:28,0.435
03-13 13:29,0.44
03-13 13:30,0.44
03-13 13:31,0.44
03-13 13:32,0.44
03-13 13:33,0.44
03-13 13:34,0.44
03-13 13:35,0.435
03-13 13:36,0.43
03-13 13:37,0.395
03-13 13:38,0.395
03-13 13:39,0.385
03-13 13:40,0.39
03-13 13:41,0.385
03-13 13:42,0.355
03-13 13:43,0.335
03-13 13:44,0.305
03-13 13:45,0.33
03-13 13:46,0.355
03-13 13:47,0.33
03-13 13:48,0.31
03-13 13:49,0.325
03-13 13:50,0.31
03-13 13:51,0.29
03-13 13:52,0.295
03-13 13:53,0.31
03-13 13:54,0.315
03-13 13:55,0.31
03-13 13:56,0.315
03-13 13:57,0.31
03-13 13:58,0.27
03-13 13:59,0.275
03-13 14:00,0.285
03-13 14:01,0.295
03-13 14:02,0.29
03-13 14:03,0.295
03-13 14:04,0.29
03-13 14:05,0.29
03-13 14:06,0.285
03-13 14:07,0.275
03-13 14:08,0.28
03-13 14:09,0.265
03-13 14:10,0.275
03-13 14:11,0.255
03-13 14:12,0.255
03-13 14:13,0.29
03-13 14:14,0.31
03-13 14:15,0.305
03-13 14:16,0.305
03-13 14:17,0.3
03-13 14:18,0.3
03-13 14:19,0.245
03-13 14:20,0.28
03-13 14:21,0.275
03-13 14:22,0.265
03-13 14:23,0.26
03-13 14:24,0.245
03-13 14:25,0.245
03-13 14:26,0.25
03-13 14:27,0.245
03-13 14:28,0.255
03-13 14:29,0.275
03-13 14:30,0.29
03-13 14:31,0.3
03-13 14:32,0.31
03-13 14:33,0.31
03-13 14:34,0.31
03-13 14:35,0.31
03-13 14:36,0.31
03-13 14:37,0.31
03-13 14:38,0.31
03-13 14:39,0.305
03-13 14:40,0.31
03-13 14:41,0.31
03-13 14:42,0.31
03-13 14:43,0.31
03-13 14:44,0.32
03-13 14:45,0.31
03-13 14:46,0.305
03-13 14:47,0.295
03-13 14:48,0.27
03-13 14:49,0.27
03-13 14:50,0.28
03-13 14:51,0.28
03-13 14:52,0.275
03-13 14:53,0.275
03-13 14:54,0.265
03-13 14:55,0.27
03-13 14:56,0.27
03-13 14:57,0.27
03-13 14:58,0.26
03-13 14:59,0.27
03-13 15:00,0.27
03-13 15:01,0.27
03-13 15:02,0.26
03-13 15:03,0.265
03-13 15:04,0.265
03-13 15:05,0.25
03-13 15:06,0.265
03-13 15:07,0.265
03-13 15:08,0.27
03-13 15:09,0.305
03-13 15:10,0.3
03-13 15:11,0.3
03-13 15:12,0.3
03-13 15:13,0.3
03-13 15:14,0.3
