Time (ET),Price
03-20 12:00,0.505
03-20 12:01,0.505
03-20 12:02,0.505
03-20 12:03,0.505
03-20 12:04,0.505
03-20 12:05,0.54
03-20 12:06,0.515
03-20 12:07,0.525
03-20 12:08,0.525
03-20 12:09,0.505
03-20 12:10,0.515
03-20 12:11,0.525
03-20 12:12,0.535
03-20 12:13,0.545
03-20 12:14,0.535
03-20 12:15,0.525
03-20 12:16,0.505
03-20 12:17,0.505
03-20 12:18,0.515
03-20 12:19,0.535
03-20 12:20,0.545
03-20 12:21,0.545
03-20 12:22,0.535
03-20 12:23,0.525
03-20 12:24,0.535
03-20 12:25,0.535
03-20 12:26,0.525
03-20 12:27,0.515
03-20 12:28,0.525
03-20 12:29,0.535
03-20 12:30,0.535
03-20 12:31,0.515
03-20 12:32,0.485
03-20 12:33,0.475
03-20 12:34,0.505
03-20 12:35,0.495
03-20 12:36,0.485
03-20 12:37,0.475
03-20 12:38,0.465
03-20 12:39,0.445
03-20 12:40,0.455
03-20 12:41,0.455
03-20 12:42,0.475
03-20 12:43,0.475
03-20 12:44,0.465
03-20 12:45,0.465
03-20 12:46,0.465
03-20 12:47,0.475
03-20 12:48,0.465
03-20 12:49,0.475
03-20 12:50,0.465
03-20 12:51,0.465
03-20 12:52,0.435
03-20 12:53,0.445
03-20 12:54,0.455
03-20 12:55,0.455
03-20 12:56,0.475
03-20 12:57,0.485
03-20 12:58,0.495
03-20 12:59,0.485
03-20 13:00,0.485
03-20 13:01,0.485
03-20 13:02,0.495
03-20 13:03,0.495
03-20 13:04,0.495
03-20 13:05,0.505
03-20 13:06,0.455
03-20 13:07,0.475
03-20 13:08,0.485
03-20 13:09,0.495
03-20 13:10,0.485
03-20 13:11,0.475
03-20 13:12,0.475
03-20 13:13,0.475
03-20 13:14,0.475
03-20 13:15,0.485
03-20 13:16,0.485
03-20 13:17,0.465
03-20 13:19,0.465
03-20 13:19,0.47
03-20 13:20,0.475
03-20 13:21,0.465
03-20 13:22,0.455
03-20 13:23,0.465
03-20 13:24,0.465
03-20 13:25,0.455
03-20 13:26,0.455
03-20 13:27,0.445
03-20 13:28,0.435
03-20 13:29,0.435
